datetime,level_1,0,prop
2020-03-20,reseaux_sociaux,12.0,33.33333333333333
2020-03-20,virus,22.0,61.111111111111114
2020-03-20,traitement,1.0,2.7777777777777777
2020-03-20,masque,,
2020-03-20,5g,1.0,2.7777777777777777
2020-03-20,bilan,1.0,2.7777777777777777
2020-03-20,complot,1.0,2.7777777777777777
2020-03-20,experts,1.0,2.7777777777777777
2020-03-20,politique,4.0,11.11111111111111
2020-03-20,laboratoire,2.0,5.555555555555555
2020-03-20,qanon,,
2020-03-20,entourage,9.0,25.0
2020-03-20,chine,4.0,11.11111111111111
2020-03-21,reseaux_sociaux,18.0,46.15384615384615
2020-03-21,virus,25.0,64.1025641025641
2020-03-21,traitement,3.0,7.6923076923076925
2020-03-21,masque,,
2020-03-21,5g,,
2020-03-21,bilan,2.0,5.128205128205128
2020-03-21,complot,,
2020-03-21,experts,,
2020-03-21,politique,7.0,17.94871794871795
2020-03-21,laboratoire,2.0,5.128205128205128
2020-03-21,qanon,,
2020-03-21,entourage,6.0,15.384615384615385
2020-03-21,chine,6.0,15.384615384615385
2020-03-22,reseaux_sociaux,23.0,46.93877551020408
2020-03-22,virus,26.0,53.06122448979592
2020-03-22,traitement,2.0,4.081632653061225
2020-03-22,masque,1.0,2.0408163265306123
2020-03-22,5g,1.0,2.0408163265306123
2020-03-22,bilan,2.0,4.081632653061225
2020-03-22,complot,2.0,4.081632653061225
2020-03-22,experts,2.0,4.081632653061225
2020-03-22,politique,7.0,14.285714285714285
2020-03-22,laboratoire,,
2020-03-22,qanon,,
2020-03-22,entourage,10.0,20.408163265306122
2020-03-22,chine,1.0,2.0408163265306123
2020-03-23,reseaux_sociaux,29.0,52.72727272727272
2020-03-23,virus,30.0,54.54545454545454
2020-03-23,traitement,2.0,3.6363636363636362
2020-03-23,masque,1.0,1.8181818181818181
2020-03-23,5g,,
2020-03-23,bilan,2.0,3.6363636363636362
2020-03-23,complot,4.0,7.2727272727272725
2020-03-23,experts,3.0,5.454545454545454
2020-03-23,politique,8.0,14.545454545454545
2020-03-23,laboratoire,,
2020-03-23,qanon,,
2020-03-23,entourage,8.0,14.545454545454545
2020-03-23,chine,7.0,12.727272727272727
2020-03-24,reseaux_sociaux,13.0,27.659574468085108
2020-03-24,virus,27.0,57.446808510638306
2020-03-24,traitement,4.0,8.51063829787234
2020-03-24,masque,5.0,10.638297872340425
2020-03-24,5g,,
2020-03-24,bilan,4.0,8.51063829787234
2020-03-24,complot,4.0,8.51063829787234
2020-03-24,experts,3.0,6.382978723404255
2020-03-24,politique,7.0,14.893617021276595
2020-03-24,laboratoire,1.0,2.127659574468085
2020-03-24,qanon,,
2020-03-24,entourage,10.0,21.27659574468085
2020-03-24,chine,7.0,14.893617021276595
2020-03-25,reseaux_sociaux,21.0,48.837209302325576
2020-03-25,virus,18.0,41.86046511627907
2020-03-25,traitement,2.0,4.651162790697675
2020-03-25,masque,1.0,2.3255813953488373
2020-03-25,5g,1.0,2.3255813953488373
2020-03-25,bilan,4.0,9.30232558139535
2020-03-25,complot,5.0,11.627906976744185
2020-03-25,experts,2.0,4.651162790697675
2020-03-25,politique,6.0,13.953488372093023
2020-03-25,laboratoire,1.0,2.3255813953488373
2020-03-25,qanon,,
2020-03-25,entourage,10.0,23.25581395348837
2020-03-25,chine,4.0,9.30232558139535
2020-03-26,reseaux_sociaux,39.0,51.31578947368421
2020-03-26,virus,33.0,43.42105263157895
2020-03-26,traitement,5.0,6.578947368421052
2020-03-26,masque,1.0,1.3157894736842104
2020-03-26,5g,,
2020-03-26,bilan,3.0,3.9473684210526314
2020-03-26,complot,3.0,3.9473684210526314
2020-03-26,experts,4.0,5.263157894736842
2020-03-26,politique,7.0,9.210526315789473
2020-03-26,laboratoire,1.0,1.3157894736842104
2020-03-26,qanon,1.0,1.3157894736842104
2020-03-26,entourage,11.0,14.473684210526317
2020-03-26,chine,4.0,5.263157894736842
2020-03-27,reseaux_sociaux,76.0,64.40677966101694
2020-03-27,virus,48.0,40.67796610169492
2020-03-27,traitement,9.0,7.627118644067797
2020-03-27,masque,1.0,0.847457627118644
2020-03-27,5g,2.0,1.694915254237288
2020-03-27,bilan,4.0,3.389830508474576
2020-03-27,complot,5.0,4.23728813559322
2020-03-27,experts,13.0,11.016949152542372
