Date,Thème,Nombre de courriels,Proportion par jour
2020-06-28,QAnon,1.0,14.29
2020-06-29,complot,3.0,27.27
2020-06-29,bilan,,
2020-06-29,QAnon,,
2020-06-30,complot,3.0,25.0
2020-06-30,bilan,1.0,8.33
2020-06-30,QAnon,1.0,8.33
2020-07-01,complot,2.0,33.33
2020-07-01,bilan,,
2020-07-01,QAnon,,
2020-07-02,complot,1.0,12.5
2020-07-02,bilan,2.0,25.0
2020-07-02,QAnon,,
2020-07-03,complot,1.0,16.67
2020-07-03,bilan,,
2020-07-03,QAnon,,
2020-07-04,complot,2.0,40.0
2020-07-04,bilan,,
2020-07-04,QAnon,,
2020-07-05,complot,2.0,66.67
2020-07-05,bilan,,
2020-07-05,QAnon,,
2020-07-06,complot,1.0,12.5
2020-07-06,bilan,1.0,12.5
2020-07-06,QAnon,,
2020-07-07,complot,2.0,22.22
2020-07-07,bilan,2.0,22.22
2020-07-07,QAnon,,
2020-07-08,complot,2.0,25.0
2020-07-08,bilan,2.0,25.0
2020-07-08,QAnon,,
2020-07-09,complot,1.0,7.14
2020-07-09,bilan,3.0,21.43
2020-07-09,QAnon,,
2020-07-10,complot,3.0,25.0
2020-07-10,bilan,1.0,8.33
2020-07-10,QAnon,,
2020-07-11,complot,2.0,20.0
2020-07-11,bilan,,
2020-07-11,QAnon,,
2020-07-12,complot,2.0,15.38
2020-07-12,bilan,,
2020-07-12,QAnon,,
2020-07-13,complot,6.0,22.22
2020-07-13,bilan,3.0,11.11
2020-07-13,QAnon,,
2020-07-14,complot,2.0,10.0
2020-07-14,bilan,,
2020-07-14,QAnon,1.0,5.0
2020-07-15,complot,3.0,21.43
2020-07-15,bilan,1.0,7.14
2020-07-15,QAnon,,
2020-07-16,complot,3.0,15.79
2020-07-16,bilan,6.0,31.58
2020-07-16,QAnon,,
2020-07-17,complot,1.0,8.33
2020-07-17,bilan,1.0,8.33
2020-07-17,QAnon,,
2020-07-18,complot,,
2020-07-18,bilan,,
2020-07-18,QAnon,,
2020-07-19,complot,2.0,22.22
2020-07-19,bilan,,
2020-07-19,QAnon,1.0,11.11
2020-07-20,complot,1.0,8.33
2020-07-20,bilan,1.0,8.33
2020-07-20,QAnon,,
2020-07-21,complot,1.0,9.09
2020-07-21,bilan,,
2020-07-21,QAnon,,
2020-07-22,complot,2.0,9.09
2020-07-22,bilan,3.0,13.64
2020-07-22,QAnon,,
2020-07-23,complot,2.0,14.29
2020-07-23,bilan,1.0,7.14
2020-07-23,QAnon,,
2020-07-24,complot,,
2020-07-24,bilan,2.0,28.57
2020-07-24,QAnon,,
2020-07-25,complot,,
2020-07-25,bilan,,
2020-07-25,QAnon,,
2020-07-26,complot,,
2020-07-26,bilan,,
2020-07-26,QAnon,1.0,16.67
2020-07-27,complot,2.0,14.29
2020-07-27,bilan,,
2020-07-27,QAnon,,
2020-07-28,complot,3.0,14.29
2020-07-28,bilan,,
2020-07-28,QAnon,,
2020-07-29,complot,4.0,23.53
2020-07-29,bilan,,
2020-07-29,QAnon,,
2020-07-30,complot,5.0,26.32
2020-07-30,bilan,2.0,10.53
2020-07-30,QAnon,,
2020-07-31,complot,2.0,25.0
2020-07-31,bilan,1.0,12.5
2020-07-31,QAnon,,
2020-08-01,complot,1.0,25.0
2020-08-01,bilan,,
2020-08-01,QAnon,,
2020-08-02,complot,,
2020-08-02,bilan,1.0,14.29
