,datetime,level_1,0
750,2020-05-08,traitement,7
751,2020-05-08,masque,0
752,2020-05-08,5g,5
753,2020-05-08,bilan,5
754,2020-05-08,complot,3
755,2020-05-08,experts,2
756,2020-05-08,politique,3
757,2020-05-08,laboratoire,1
758,2020-05-08,qanon,0
759,2020-05-09,reseaux_sociaux,12
760,2020-05-09,virus,17
761,2020-05-09,traitement,7
762,2020-05-09,masque,2
763,2020-05-09,5g,2
764,2020-05-09,bilan,1
765,2020-05-09,complot,2
766,2020-05-09,experts,2
767,2020-05-09,politique,4
768,2020-05-09,laboratoire,3
769,2020-05-09,qanon,2
770,2020-05-10,reseaux_sociaux,25
771,2020-05-10,virus,11
772,2020-05-10,traitement,6
773,2020-05-10,masque,2
774,2020-05-10,5g,1
775,2020-05-10,bilan,3
776,2020-05-10,complot,7
777,2020-05-10,experts,3
778,2020-05-10,politique,9
779,2020-05-10,laboratoire,1
780,2020-05-10,qanon,0
781,2020-05-11,reseaux_sociaux,19
782,2020-05-11,virus,12
783,2020-05-11,traitement,5
784,2020-05-11,masque,0
785,2020-05-11,5g,6
786,2020-05-11,bilan,4
787,2020-05-11,complot,5
788,2020-05-11,experts,5
789,2020-05-11,politique,4
790,2020-05-11,laboratoire,0
791,2020-05-11,qanon,0
792,2020-05-12,reseaux_sociaux,34
793,2020-05-12,virus,27
794,2020-05-12,traitement,11
795,2020-05-12,masque,3
796,2020-05-12,5g,0
797,2020-05-12,bilan,13
798,2020-05-12,complot,6
799,2020-05-12,experts,4
800,2020-05-12,politique,5
801,2020-05-12,laboratoire,3
802,2020-05-12,qanon,0
803,2020-05-13,reseaux_sociaux,24
804,2020-05-13,virus,17
805,2020-05-13,traitement,12
806,2020-05-13,masque,4
807,2020-05-13,5g,2
808,2020-05-13,bilan,3
809,2020-05-13,complot,1
810,2020-05-13,experts,3
811,2020-05-13,politique,7
812,2020-05-13,laboratoire,2
813,2020-05-13,qanon,0
814,2020-05-14,reseaux_sociaux,22
815,2020-05-14,virus,9
816,2020-05-14,traitement,1
817,2020-05-14,masque,2
818,2020-05-14,5g,0
819,2020-05-14,bilan,4
