Date,Thème,Nombre de courriels,Proportion par jour
2020-07-01,Chine,,
2020-07-01,laboratoire,,
2020-07-02,virus,2.0,25.0
2020-07-02,Chine,,
2020-07-02,laboratoire,,
2020-07-03,virus,3.0,50.0
2020-07-03,Chine,,
2020-07-03,laboratoire,,
2020-07-04,virus,2.0,40.0
2020-07-04,Chine,,
2020-07-04,laboratoire,,
2020-07-05,virus,1.0,33.33
2020-07-05,Chine,,
2020-07-05,laboratoire,,
2020-07-06,virus,5.0,62.5
2020-07-06,Chine,,
2020-07-06,laboratoire,,
2020-07-07,virus,4.0,44.44
2020-07-07,Chine,,
2020-07-07,laboratoire,,
2020-07-08,virus,4.0,50.0
2020-07-08,Chine,,
2020-07-08,laboratoire,,
2020-07-09,virus,10.0,71.43
2020-07-09,Chine,,
2020-07-09,laboratoire,,
2020-07-10,virus,2.0,16.67
2020-07-10,Chine,,
2020-07-10,laboratoire,,
2020-07-11,virus,2.0,20.0
2020-07-11,Chine,,
2020-07-11,laboratoire,,
2020-07-12,virus,4.0,30.77
2020-07-12,Chine,,
2020-07-12,laboratoire,,
2020-07-13,virus,9.0,33.33
2020-07-13,Chine,,
2020-07-13,laboratoire,,
2020-07-14,virus,3.0,15.0
2020-07-14,Chine,,
2020-07-14,laboratoire,,
2020-07-15,virus,6.0,42.86
2020-07-15,Chine,1.0,7.14
2020-07-15,laboratoire,,
2020-07-16,virus,8.0,42.11
2020-07-16,Chine,2.0,10.53
2020-07-16,laboratoire,,
2020-07-17,virus,4.0,33.33
2020-07-17,Chine,,
2020-07-17,laboratoire,,
2020-07-18,virus,4.0,40.0
2020-07-18,Chine,,
2020-07-18,laboratoire,,
2020-07-19,virus,,
2020-07-19,Chine,,
2020-07-19,laboratoire,,
2020-07-20,virus,3.0,25.0
2020-07-20,Chine,,
2020-07-20,laboratoire,,
2020-07-21,virus,2.0,18.18
2020-07-21,Chine,,
2020-07-21,laboratoire,,
2020-07-22,virus,7.0,31.82
2020-07-22,Chine,,
2020-07-22,laboratoire,,
2020-07-23,virus,4.0,28.57
2020-07-23,Chine,,
2020-07-23,laboratoire,,
2020-07-24,virus,5.0,71.43
2020-07-24,Chine,,
2020-07-24,laboratoire,,
2020-07-25,virus,2.0,100.0
2020-07-25,Chine,1.0,50.0
2020-07-25,laboratoire,,
2020-07-26,virus,2.0,33.33
2020-07-26,Chine,,
2020-07-26,laboratoire,,
2020-07-27,virus,6.0,42.86
2020-07-27,Chine,,
2020-07-27,laboratoire,,
2020-07-28,virus,5.0,23.81
2020-07-28,Chine,1.0,4.76
2020-07-28,laboratoire,,
2020-07-29,virus,7.0,41.18
2020-07-29,Chine,1.0,5.88
2020-07-29,laboratoire,,
2020-07-30,virus,10.0,52.63
2020-07-30,Chine,,
2020-07-30,laboratoire,,
2020-07-31,virus,1.0,12.5
2020-07-31,Chine,,
2020-07-31,laboratoire,,
2020-08-01,virus,,
2020-08-01,Chine,,
2020-08-01,laboratoire,,
2020-08-02,virus,2.0,28.57
2020-08-02,Chine,,
2020-08-02,laboratoire,,
2020-08-03,virus,5.0,50.0
2020-08-03,Chine,,
2020-08-03,laboratoire,,
2020-08-04,virus,6.0,37.5
2020-08-04,Chine,2.0,12.5
2020-08-04,laboratoire,1.0,6.25
2020-08-05,virus,6.0,60.0
2020-08-05,Chine,1.0,10.0
2020-08-05,laboratoire,,
2020-08-06,virus,1.0,14.29
2020-08-06,Chine,,
2020-08-06,laboratoire,,
2020-08-07,virus,1.0,50.0
2020-08-07,Chine,,
2020-08-07,laboratoire,,
2020-08-08,virus,4.0,57.14
2020-08-08,Chine,,
2020-08-08,laboratoire,,
2020-08-09,virus,2.0,50.0
2020-08-09,Chine,1.0,25.0
2020-08-09,laboratoire,,
2020-08-10,virus,6.0,75.0
2020-08-10,Chine,,
2020-08-10,laboratoire,,
2020-08-11,virus,4.0,50.0
2020-08-11,Chine,,
2020-08-11,laboratoire,,
2020-08-12,virus,1.0,8.33
2020-08-12,Chine,,
2020-08-12,laboratoire,,
2020-08-13,virus,2.0,25.0
2020-08-13,Chine,,
2020-08-13,laboratoire,,
2020-08-14,virus,1.0,20.0
2020-08-14,Chine,,
2020-08-14,laboratoire,,
2020-08-15,virus,1.0,20.0
2020-08-15,Chine,,
2020-08-15,laboratoire,,
2020-08-16,virus,2.0,40.0
2020-08-16,Chine,,
2020-08-16,laboratoire,,
2020-08-17,virus,2.0,66.67
2020-08-17,Chine,,
2020-08-17,laboratoire,,
2020-08-18,virus,1.0,16.67
2020-08-18,Chine,,
2020-08-18,laboratoire,,
2020-08-19,virus,2.0,28.57
2020-08-19,Chine,,
