Date,Thème,Nombre de courriels,Proportion par jour
2020-08-21,réseaux sociaux,6.0,66.67
2020-08-22,entourage,2.0,18.18
2020-08-22,réseaux sociaux,5.0,45.45
2020-08-23,entourage,,
2020-08-23,réseaux sociaux,13.0,81.25
2020-08-24,entourage,2.0,16.67
2020-08-24,réseaux sociaux,9.0,75.0
2020-08-25,entourage,3.0,30.0
2020-08-25,réseaux sociaux,10.0,100.0
2020-08-26,entourage,2.0,15.38
2020-08-26,réseaux sociaux,10.0,76.92
2020-08-27,entourage,1.0,20.0
2020-08-27,réseaux sociaux,2.0,40.0
2020-08-28,entourage,1.0,20.0
2020-08-28,réseaux sociaux,1.0,20.0
2020-08-29,entourage,2.0,15.38
2020-08-29,réseaux sociaux,7.0,53.85
2020-08-30,entourage,,
2020-08-30,réseaux sociaux,1.0,50.0
2020-08-31,entourage,,
2020-08-31,réseaux sociaux,3.0,75.0
